product_name,brand,price,mrp,discount_percent,rating,review_count,processor,ram,storage,graphics,pixels,display_size,seller,availability,product_url,touchscreen,laptop_type,search_term
Add to CompareHP Victus AI AMD Ryzen 7 Octa Core 260,Add,"₹1,26,014","₹42,600",Not Available,Not Available,5746 Ratings,AMD Ryzen 7 Octa,24 GB DDR5 RAM,1 TB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/hp-victus-ai-amd-ryzen-7-octa-core-260-24-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5050-15-fb3185ax-gaming-laptop/p/itm08bbf58218363?pid=COMHDZVEE22P67WR&lid=LSTCOMHDZVEE22P67WR32U1SH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_Y9x9nAFn64GzhbT2PmtaRkJFLhybAC7AKCS1pA-1LHLqJwAf368s7TCSqgNfiRFFroI1WLqXPTumTKhVggkdaR9V8KBdVvtp6YPrxkwfr1ZfJRtsqaZCfX3FdOqAlcCN&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareLenovo Ultra 5 225U Intel Core Ultra 5 225U,Add,"₹1,15,999","₹42,600",4% off,Not Available,Not Available,Intel Core Ultra 5,16 GB DDR5 RAM,1 TB SSD,Not Available,Not Available,40.64 cm (16 inch),Not Available,In Stock,https://www.flipkart.com/lenovo-ultra-5-225u-intel-core-16-gb-1-tb-ssd-windows-11-home-21ska0ftig-laptop/p/itmb069abad9f7f6?pid=COMHNNHG5N32TYQF&lid=LSTCOMHNNHG5N32TYQFQ8NUWH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_Y9x9nAFn64GzhbT2PmtaRkJFLhybAC7AKCS1pA-1LHIGkzLnaeK4MZuNgnsC86C2XNAkeJ3TL4AjeVuXVbFusQt109oOp2LGlIrpINYEOuiZA-o8PzRyUiRWutq484Yd&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareLenovo 100e Chromebook Gen 4 MediaTek Kompanio 520,Add,"₹20,100",Not Available,24% off,Not Available,"43,383 Ratings",MediaTek Kompanio,Not Available,32 GB EMMC,Not Available,Not Available,29.46 cm (11.6 Inch),Not Available,In Stock,https://www.flipkart.com/lenovo-100e-chromebook-gen-4-mediatek-kompanio-520-4-gb-32-gb-emmc-storage-chrome-os/p/itm041aea27f1885?pid=COMHA9FK8YXVUUWA&lid=LSTCOMHA9FK8YXVUUWAMUOF4G&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=c6c287ec-0af8-4048-b3dd-e50b6b481f8a.COMHA9FK8YXVUUWA.SEARCH&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareASUS Chromebook CX15 Intel Celeron Dual Core N50,Add,"₹24,990","₹19,900",Not Available,Not Available,1234 Ratings,Celeron Dual,4 GB LPDDR5 RAM,64 GB EMMC,Not Available,Not Available,39.62 cm (15.6 inch),Not Available,In Stock,https://www.flipkart.com/asus-chromebook-cx15-intel-celeron-dual-core-n50-4-gb-64-gb-emmc-storage-chrome-os-cx1505cta-s70256-laptop/p/itm987fe58d63593?pid=COMHKQA3FFDKKNHZ&lid=LSTCOMHKQA3FFDKKNHZT4TS4R&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=c6c287ec-0af8-4048-b3dd-e50b6b481f8a.COMHKQA3FFDKKNHZ.SEARCH&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareAcer Aspire Lite AMD Ryzen 3 Quad Core 5400U,Add,"₹46,990",Not Available,6% off,Not Available,"11,651 Ratings",AMD Ryzen 3 Quad,8 GB DDR4 RAM,512 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-3-quad-core-5400u-8-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMH2TPSM9V7V38F&lid=LSTCOMH2TPSM9V7V38FUK0ITB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=c6c287ec-0af8-4048-b3dd-e50b6b481f8a.COMH2TPSM9V7V38F.SEARCH&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareDELL 14 Microsoft Office Home 2024 AMD Ryzen 5 Hexa Core AI 5 340,Add,"₹73,490","₹42,600",20% off,Not Available,111 Ratings,AMD Ryzen 5 Hexa,Not Available,512 GB SSD,Not Available,Not Available,35.56 cm (14 Inch),Not Available,In Stock,https://www.flipkart.com/dell-14-microsoft-office-home-2024-amd-ryzen-5-hexa-core-ai-340-16-gb-512-gb-ssd-windows-11-home-db14255-thin-light-laptop/p/itm0ca95e9f348c1?pid=COMHDZXVH7TGHMJP&lid=LSTCOMHDZXVH7TGHMJPCZTBD3&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=en_Y9x9nAFn64GzhbT2PmtaRkJFLhybAC7AKCS1pA-1LHJ5agZlcFvOg7lW4VsyS4UDanSXWhlG8qA9OnB7aJTbM2M6zsBVU6FTn0hyWprRxS1M3SkuhK-VAWSPjEzpaMt-&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareNeopticon Ebook Intel Celeron Dual Core,Add,"₹13,999",Not Available,43% off,Not Available,316 Ratings,Celeron Dual,4 GB DDR4 RAM,128 GB SSD,Not Available,Not Available,29.46 cm (11.6 Inch),Not Available,In Stock,https://www.flipkart.com/neopticon-ebook-intel-celeron-dual-core-4-gb-128-gb-ssd-128-emmc-storage-windows-11-home-bben40412811-notebook/p/itm6c14bc3bfdbb2?pid=COMHG8YXDU3JQ8GG&lid=LSTCOMHG8YXDU3JQ8GGFWEOTS&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=c6c287ec-0af8-4048-b3dd-e50b6b481f8a.COMHG8YXDU3JQ8GG.SEARCH&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareASUS Vivobook 15 (2025) with Office 2024 + M365 Basic* Intel Core i3 13th Gen,Add,"₹44,990","₹31,950",40% off,Not Available,"31,419 Ratings",M3,8 GB DDR5 RAM,512 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/asus-vivobook-15-2025-office-2024-m365-basic-intel-core-i3-13th-gen-8-gb-512-gb-ssd-windows-11-home-x1504va-d5321ws-thin-light-laptop/p/itma044347a6922b?pid=COMHGWQY66YNGVFK&lid=LSTCOMHGWQY66YNGVFKYKVYYT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=c6c287ec-0af8-4048-b3dd-e50b6b481f8a.COMHGWQY66YNGVFK.SEARCH&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareAcer One 14 AMD Ryzen 3 Quad Core 7320U,Add,"₹39,990",Not Available,23% off,Not Available,4637 Ratings,AMD Ryzen 3 Quad,8 GB LPDDR5 RAM,256 GB SSD,Not Available,Not Available,35.56 cm (14 Inch),Not Available,In Stock,https://www.flipkart.com/acer-one-14-amd-ryzen-3-quad-core-7320u-8-gb-256-gb-ssd-windows-11-home-a114-43-thin-light-laptop/p/itm283f44123aab0?pid=COMGFHMJFHEDTDD4&lid=LSTCOMGFHMJFHEDTDD4MVBYII&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=c6c287ec-0af8-4048-b3dd-e50b6b481f8a.COMGFHMJFHEDTDD4.SEARCH&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareASUS ROG Zephyrus G16 OLED (2026) Intel Core Ultra 9 386H,Add,"₹4,89,990","₹42,600",17% off,Not Available,Not Available,Intel Core Ultra 9,Not Available,2 TB SSD,Not Available,Not Available,40.64 cm (16 inch),Not Available,In Stock,https://www.flipkart.com/asus-rog-zephyrus-g16-oled-2026-intel-core-ultra-9-386h-32-gb-2-tb-ssd-windows-11-home-12-gb-graphics-nvidia-geforce-rtx-5070-ti-240-hz-gu606ar-tb039ws-gaming-laptop/p/itmdee0c1001d6a1?pid=COMHNHH8FBHVAY2N&lid=LSTCOMHNHH8FBHVAY2NVLQNF7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=c6c287ec-0af8-4048-b3dd-e50b6b481f8a.COMHNHH8FBHVAY2N.SEARCH&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Gaming,laptop
Add to CompareASUS ExpertBook Ultra Copilot+ PC Intel Core Ultra X7 358H,Add,"₹2,72,990","₹42,600",39% off,Not Available,932 Ratings,m1,Not Available,1 TB SSD,Not Available,Not Available,35.56 cm (14 inch),Not Available,In Stock,https://www.flipkart.com/asus-expertbook-ultra-copilot-pc-intel-core-x7-358h-32-gb-1-tb-ssd-windows-11-home-b9406caa-th1205ws-thin-light-laptop/p/itm8f6006a76d8bf?pid=COMHM9URJR7BV3HY&lid=LSTCOMHM9URJR7BV3HYEBIZAD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=en_Y9x9nAFn64GzhbT2PmtaRkJFLhybAC7AKCS1pA-1LHIDl115iSNQMff3G-JVw5D7qBpcDFrk-H39rAm6ZrDmHzH5QQNk-X9ZSB-u47ePfIaZA-o8PzRyUiRWutq484Yd&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareDELL Alienware 15 AMD Ryzen 7 260,Add,"₹1,39,800",Not Available,22% off,Not Available,622 Ratings,AMD Ryzen 7 260,16 GB DDR5 RAM,512 GB SSD,Not Available,Not Available,38.1 cm (15 inch),Not Available,In Stock,https://www.flipkart.com/dell-alienware-15-amd-ryzen-7-260-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-165-hz-can15265cto04mino-gaming-laptop/p/itm032b809caeee3?pid=COMHZHMXZTGBMGFF&lid=LSTCOMHZHMXZTGBMGFFTCEXYL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_Y9x9nAFn64GzhbT2PmtaRkJFLhybAC7AKCS1pA-1LHJe-19xpf9XpfwH7xiF573f6XQZEfYhrrXf6mlQIhyLPB7qQTqHNs5BV3LT9LQ44HFM3SkuhK-VAWSPjEzpaMt-&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to ComparePrimebook Wifi (2026 Model) MediaTek MT8183,Add,"₹17,490",Not Available,30% off,Not Available,"23,405 Ratings",MediaTek MT8183,4 GB LPDDR4 RAM,64 GB EMMC,Not Available,Not Available,29.46 cm (11.6 Inch),Not Available,In Stock,https://www.flipkart.com/primebook-wifi-2026-model-mediatek-mt8183-4-gb-64-gb-emmc-storage-prime-os-pb-thin-light-laptop/p/itmfd14d0fbf7736?pid=COMGT846VD2DQBG4&lid=LSTCOMGT846VD2DQBG4VPIAOU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=c6c287ec-0af8-4048-b3dd-e50b6b481f8a.COMGT846VD2DQBG4.SEARCH&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareASUS ExpertBook P1 (i7 14th Gen) with 1 Yr ADP Intel Core 7 240H,Add,"₹99,890",Not Available,23% off,Not Available,459 Ratings,Intel Core 7,32 GB DDR5 RAM,512 GB SSD,Not Available,Not Available,35.56 cm (14 Inch),Not Available,In Stock,https://www.flipkart.com/asus-expertbook-p1-i7-14th-gen-1-yr-adp-intel-core-7-240h-32-gb-512-gb-ssd-windows-11-home-p1403cva-s61493ws-laptop/p/itm155fbf2a1d91c?pid=COMHGYAFJ4ZM8ZHQ&lid=LSTCOMHGYAFJ4ZM8ZHQHGZKXU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=c6c287ec-0af8-4048-b3dd-e50b6b481f8a.COMHGYAFJ4ZM8ZHQ.SEARCH&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to ComparePrimebook 2 Pro (2026) in-Built AI MediaTek Helio G99 (MT8781),Add,"₹28,990",Not Available,27% off,Not Available,"31,832 Ratings",MediaTek Helio,Not Available,Not Available,Not Available,Not Available,35.81 cm (14.1 Inch),Not Available,In Stock,https://www.flipkart.com/primebook-2-pro-2026-in-built-ai-mediatek-helio-g99-mt8781-8-gb-128-gb-android-15-pbg9914128-4278c-laptop/p/itmdbf8db6a6f79a?pid=COMHDGD5FH6NZPHD&lid=LSTCOMHDGD5FH6NZPHD567UTY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=c6c287ec-0af8-4048-b3dd-e50b6b481f8a.COMHDGD5FH6NZPHD.SEARCH&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareAcer Aspire 3 (i3 14th Gen) Intel Core 3 100U,Add,"₹47,990","₹34,500",23% off,Not Available,3255 Ratings,Intel Core 3,8 GB DDR4 RAM,256 GB SSD,Not Available,Not Available,35.56 cm (14 inch),Not Available,In Stock,https://www.flipkart.com/acer-aspire-3-i3-14th-gen-intel-core-100u-8-gb-256-gb-ssd-windows-11-home-a324-53-notebook/p/itm1fc4a7fe21644?pid=COMHMPEEZFDGBAPZ&lid=LSTCOMHMPEEZFDGBAPZC9BP7D&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=c6c287ec-0af8-4048-b3dd-e50b6b481f8a.COMHMPEEZFDGBAPZ.SEARCH&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
"Add to CompareASUS Vivobook 16 (2026) AI PC with Office 2024 + M365 Basic*, Copilot+ PC AMD Ryzen AI 7 Hexa Core 445...4.710 Ratings&2 ReviewsAMD Ryzen AI 7 Hexa Core Processor16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD40.64 cm (16 inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year1 Year Onsite Warranty₹92,990₹1,21,99023% offUpto₹42,600Off on ExchangeBank Offer",Add,"₹92,990","₹42,600",23% off,Not Available,710 Ratings,M3,16 GB DDR5 RAM,512 GB SSD,Not Available,Not Available,40.64 cm (16 inch),Not Available,In Stock,https://www.flipkart.com/asus-vivobook-16-2026-ai-pc-office-2024-m365-basic-copilot-amd-ryzen-7-hexa-core-445-16-gb-512-gb-ssd-windows-11-home-m1607ga-mb029ws-thin-light-laptop/p/itm2d63dd66b4319?pid=COMHJJ2HJZYGBDHF&lid=LSTCOMHJJ2HJZYGBDHFLGYWOU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=en_Y9x9nAFn64GzhbT2PmtaRkJFLhybAC7AKCS1pA-1LHK_sxbI-BId1LF9_MRvzLO6TSoKhU7szYBJwzKPW7RDWf1dMzXyEr2m4afN-L79VqhM3SkuhK-VAWSPjEzpaMt-&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareMSI Venture A16 AI+ AMD Ryzen 7 Octa Core,Add,"₹1,20,990",Not Available,6% off,Not Available,Not Available,AMD Ryzen 7 Octa,16 GB DDR5 RAM,1 TB SSD,Not Available,Not Available,40.64 cm (16 Inch),Not Available,In Stock,https://www.flipkart.com/msi-venture-a16-ai-amd-ryzen-7-octa-core-16-gb-1-tb-ssd-windows-11-home-a3hmg-037in-laptop/p/itm323005880de04?pid=COMHCRGWEWQWYFDV&lid=LSTCOMHCRGWEWQWYFDVIGE5DE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=en_Y9x9nAFn64GzhbT2PmtaRkJFLhybAC7AKCS1pA-1LHKEDkiWFublSnYyDAt1TnjGeXioxAHTcfWPTVdEfADtu5keQRD_hEbHGlnXTzz2M-VM3SkuhK-VAWSPjEzpaMt-&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
"Add to CompareASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...4.31,922 Ratings&155 ReviewsIntel Core 5 Processor16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year1 Year Onsite Warranty₹87,900₹88,9901% offOnly 1 leftBank Offer",Add,"₹87,900",Not Available,1% off,Not Available,"31,922 Ratings",M3,16 GB DDR4 RAM,512 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/asus-vivobook-15-2025-i5-14th-gen-mso-2024-m365-basic-backlit-keyboard-intel-core-5-120u-16-gb-512-gb-ssd-windows-11-home-x1504vap-nj2864ws-x1504vap-bq542ws-x1504vap-bq1542ws-thin-light-laptop/p/itmdcd6c59b37b94?pid=COMHDG7C2U4CAHFC&lid=LSTCOMHDG7C2U4CAHFC1MOYKN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=c6c287ec-0af8-4048-b3dd-e50b6b481f8a.COMHDG7C2U4CAHFC.SEARCH&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
"Add to CompareASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...4.31,922 Ratings&155 ReviewsIntel Core 5 Processor16 GB DDR4 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year1 Year Onsite Warranty₹69,900₹75,0006% offOnly 4 leftBank Offer",Add,"₹69,900",Not Available,6% off,Not Available,"31,922 Ratings",M3,16 GB DDR4 RAM,512 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/asus-vivobook-15-2025-i5-14th-gen-mso-2024-m365-basic-backlit-keyboard-intel-core-5-120u-16-gb-512-gb-ssd-windows-11-home-x1504vap-nj2862ws-x1504vap-bq224ws-thin-light-laptop/p/itm774438efecaf0?pid=COMHDG7CFDWVKYMZ&lid=LSTCOMHDG7CFDWVKYMZSGRBRE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=c6c287ec-0af8-4048-b3dd-e50b6b481f8a.COMHDG7CFDWVKYMZ.SEARCH&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareASUS TUF Gaming A16 (2026) with Office 2024 + M365 Basic AMD Ryzen 7 260,Add,"₹1,39,990","₹42,600",53% off,Not Available,749 Ratings,M3,16 GB DDR5 RAM,1 TB SSD,Not Available,Not Available,40.64 cm (16 inch),Not Available,In Stock,https://www.flipkart.com/asus-tuf-gaming-a16-2026-office-2024-m365-basic-amd-ryzen-7-260-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5050-165-hz-fa608uh-rv112ws-laptop/p/itma83335dd66da5?pid=COMHMARKAYGY6HVV&lid=LSTCOMHMARKAYGY6HVVY9ZSNO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=en_Y9x9nAFn64GzhbT2PmtaRkJFLhybAC7AKCS1pA-1LHK8BL5g6vk9ISROBkLVFuh2TNO4Odh3c-pWGQJqBRp7X7KBrj-3Q4X4oAG8FLrbYfBFkQdbVOKZmLqUOH8iwMNG&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Gaming,laptop
"Add to CompareASUS Vivobook S14 (2026) with Office 2024 + M365 Basic*, AI PC NPU up to 16TOPS AMD Ryzen 7 260",Add,"₹89,990","₹42,600",21% off,Not Available,312 Ratings,M3,16 GB DDR5 RAM,1 TB SSD,Not Available,Not Available,35.56 cm (14 inch),Not Available,In Stock,https://www.flipkart.com/asus-vivobook-s14-2026-office-2024-m365-basic-ai-pc-npu-up-16tops-amd-ryzen-7-260-16-gb-1-tb-ssd-windows-11-home-m3407ha-ly750ws-thin-light-laptop/p/itm5cc55ffa26330?pid=COMHMAZ8PKKS5WHM&lid=LSTCOMHMAZ8PKKS5WHMNXQWQI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=en_Y9x9nAFn64GzhbT2PmtaRkJFLhybAC7AKCS1pA-1LHLsX1IfFyN_x0GsYBqQeKrIygH80xJcELzqbxdOIz8ulhgbFaqqAb-5AizRpy6ysZVM3SkuhK-VAWSPjEzpaMt-&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareAcer Aspire Lite Intel Core i3 12th Gen 1215U,Add,"₹51,990",Not Available,5% off,Not Available,"11,100 Ratings",Intel Core i3,16 GB DDR4 RAM,512 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/acer-aspire-lite-intel-core-i3-12th-gen-1215u-16-gb-512-gb-ssd-windows-11-home-al15-52-thin-light-laptop/p/itm130746bcc0e38?pid=COMGWKF2QYG6XNCZ&lid=LSTCOMGWKF2QYG6XNCZVPCDKL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=c6c287ec-0af8-4048-b3dd-e50b6b481f8a.COMGWKF2QYG6XNCZ.SEARCH&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Currently unavailableAdd to CompareLenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H,Currently,Not Available,Not Available,Not Available,Not Available,"22,680 Ratings",Intel Core i5,16 GB LPDDR5 RAM,512 GB SSD,Not Available,Not Available,35.56 cm (14 Inch),Not Available,In Stock,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-14iah8-thin-light-laptop/p/itm726ac134d0530?pid=COMGYHP5ZB4AGZH6&q=laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=search&fm=organic&iid=c6c287ec-0af8-4048-b3dd-e50b6b481f8a.COMGYHP5ZB4AGZH6.SEARCH&ppt=None&ppn=None&ssid=31y2j5z2kg0000001788764908905&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareASUS Chromebook CX14 Intel Celeron Dual Core N50,Add,"₹24,402",Not Available,15% off,Not Available,9770 Ratings,Celeron Dual,4 GB LPDDR5 RAM,64 GB EMMC,Not Available,Not Available,35.56 cm (14 inch),Not Available,In Stock,https://www.flipkart.com/asus-chromebook-cx14-intel-celeron-dual-core-n50-4-gb-64-gb-emmc-storage-chrome-os-cx1405cta-s60620-laptop/p/itm5a14f3731bf15?pid=COMHKQA3R42GHHJF&lid=LSTCOMHKQA3R42GHHJF2PWTQM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_25&otracker=search&fm=organic&iid=10163fff-f0c4-485e-a6dd-e42933b68a46.COMHKQA3R42GHHJF.SEARCH&ppt=None&ppn=None&ssid=hn3y5gxzj40000001788764929327&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
Add to CompareHP 255 G10 (2025) AMD Athlon Dual Core 7120U,Add,"₹46,999",Not Available,6% off,Not Available,411 Ratings,m2,8 GB DDR4 RAM,256 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/hp-255-g10-2025-amd-athlon-dual-core-7120u-8-gb-256-gb-ssd-windows-11-pro-thin-light-laptop/p/itm7e340cc25ba7f?pid=COMHG77QAFYQFUQG&lid=LSTCOMHG77QAFYQFUQG55MDY7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_26&otracker=search&fm=organic&iid=10163fff-f0c4-485e-a6dd-e42933b68a46.COMHG77QAFYQFUQG.SEARCH&ppt=None&ppn=None&ssid=hn3y5gxzj40000001788764929327&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal,laptop
